gamma,phi,eta,L,t,r
0.08459563245845875,1.5573670324781919,0.0009814830091385606,0.003220549554212802,24.231106542437196,7.453712135492654e-07
0.06429123182754655,1.5388422115607554,0.0009975033413744542,0.0023950588951781706,22.169764818033904,2.6006799204032183e-07
0.08622356312886671,1.5461380388178143,0.0010076172459006752,0.0030364515927952273,23.257709059102012,3.73461769779581e-07
0.08285907106523549,1.5668780336011534,0.000997456575666865,0.0012606889246228208,12.717431992562547,7.567172656627005e-07
0.09083244493311055,1.570229053820606,0.0010017078574895836,0.0005760748801939976,15.189146468953714,8.23906656220311e-07
0.08541217784026527,1.3604017685724548,0.000989215134705949,0.009750668263301437,21.397341421525,5.01835012639196e-07
0.06691700663693476,1.5356457801664871,0.0010160744880847274,0.003839792847998243,25.38746387476213,4.994777674214031e-07
0.052362869777911866,1.4209383518343137,0.0010017016209402626,0.0059282190294536186,29.509934955425745,2.950067565152818e-07
0.08877895995386,1.5647324151432775,0.0010057289845680144,0.0016314727135255172,18.067934751137656,5.719191059786277e-07
0.0697923014334331,1.221024659471075,0.0010008527801439518,0.013180483413840547,16.143020043111857,8.919035126826444e-07
0.07818245674037652,1.3876416825594022,0.0009946271438979414,0.01022615267731047,29.196137913377413,5.028463629494296e-07
0.07856467398901391,1.542858667195145,0.000996952962726561,0.002206859464141105,10.148464514341196,4.297786970529531e-07
0.05596133377146872,1.2861351477613376,0.0009911965314796769,0.011974909573357522,24.273962853923088,7.25047572715212e-07
0.05616763680328314,1.477580455619716,0.0010169655909877454,0.0037240069379432888,17.328251200937764,3.1165323428789506e-07
0.07206890624614404,1.4966233815847403,0.0010097663610117364,0.004143266719549083,20.245145871787052,3.1747764973876636e-07
0.06475949254721944,1.2964021019712848,0.0009823138251846507,0.009418530489585542,19.64058393572986,5.116596836301103e-07
0.0643703061534033,1.4593578852456064,0.0010002779477437031,0.003181329695210549,10.64825068489842,2.6825868694351084e-07
0.06464041441329055,1.2937944017746559,0.0010131429042543904,0.005628678204729888,14.08712099206471,2.5591987029743814e-07
0.07610685930979151,1.471618636151245,0.0009824419552973307,0.004170243338160775,15.939468787459854,2.9285807351973596e-07
0.07567160646844288,1.4410081765998486,0.000998660828295209,0.007913820367560286,17.728199695896105,7.137297520142723e-07
0.07915931274135173,1.5414377242518211,0.0009934868656528303,0.0023745518805335644,17.27062646344084,2.743243456321245e-07
0.07595158414838514,1.4701456503306403,0.0009953779171681754,0.00648826287048417,27.708239667258145,4.0644439836618896e-07
0.07169542836326102,1.4185077808276394,0.0010010643960931338,0.008443342499301298,17.325197588804134,7.894796706064666e-07
0.07577638178623451,1.4805482923514488,0.0010026790659091647,0.005738275073751932,20.723273982999547,4.669994930756678e-07
0.07933626967234986,1.5665655842276274,0.0009939656696475788,0.0009086581816278974,16.373308406663448,3.00700117921395e-07
0.08527498065321734,1.471617887298003,0.0010099196275518492,0.005000902458506648,12.726663152407147,4.771920830019693e-07
0.07098359472164432,1.5524951516245542,0.0009819953151561113,0.0017766390362040207,10.84903678298902,4.293578195811919e-07
0.07832927285156964,1.5624768828893874,0.0010099059601155363,0.0015186819970202851,20.933334332664366,3.4574271955295665e-07
0.07768975987611237,1.5400603756742288,0.00100026737110423,0.0039997551001865524,25.40205499623609,5.437856179278294e-07
0.04794357017021681,1.5677516099480027,0.0010078723577471836,0.0008350333155585968,11.038991103327824,8.604312092926709e-07
0.061143679493733616,1.5611113906520364,0.000997459422926355,0.0012743533199640012,17.54409249913758,3.18001263529753e-07
0.07606865136731462,1.3924068722788796,0.001008895255991609,0.005849932072100951,14.213099104434274,3.485691530127726e-07
0.08526185490295914,1.5214278801661014,0.0010179091127330915,0.005683628514595843,22.36641824148544,7.043304925484773e-07
0.08186761417329369,1.2300540559154318,0.0010130417474911672,0.01092881492810156,16.375838007237142,5.377593234349715e-07
0.08037149911761429,1.2142329578085507,0.0009973977234615761,0.015197971271387301,21.60831842142965,7.484301620181436e-07
0.0827386305953005,1.5590702810178825,0.0010083442198533224,0.0021405009637031533,17.57793674154982,5.650722007700625e-07
0.07918138989445195,1.5041129194091711,0.0009871061718866008,0.005175039085636706,27.58940264338095,3.556519445531561e-07
0.06962795690281648,1.4559474827357994,0.0010079420551843635,0.0052082432631590575,22.470158551422493,3.07310536777081e-07
0.07683755398268349,1.3576245296107672,0.001016772220332107,0.011758350825429505,20.674593415273588,8.160594871011867e-07
0.07609704830657318,1.4403442023638073,0.0010056792188022383,0.00810114528740397,23.06243456900666,5.692790492667183e-07
0.07030498590637667,1.3916430621752376,0.0009797816417937367,0.0074122745749094845,14.716539410150492,5.893066168769102e-07
0.07073089119524588,1.5288815966241605,0.0009760675234144877,0.003628686377785696,15.424958087691568,5.551959381866147e-07
0.0715392987787869,1.4404387535533663,0.0009945698809657904,0.004971069901685236,16.501672224281034,3.2694086694970266e-07
0.07355819121993364,1.284541810549348,0.000992160598263997,0.006837456592719616,10.474991553571009,4.1772432882731575e-07
0.09800977716202951,1.5120952822327498,0.0009936103061400998,0.004022622817907798,27.780139605345145,2.0371250558556515e-07
0.09811497442929448,1.3729219348319601,0.0010055667114586416,0.006874746053651456,12.565159846593223,3.849721216884865e-07
0.06488199091568,1.3691073812390133,0.0010016299920977796,0.005287436305828181,14.845906959331234,2.9191553406247126e-07
0.06262059059851499,1.3028650441503382,0.001012744211012649,0.008691583288082843,20.295814718147145,4.5968786270342696e-07
0.07416048545687624,1.5518939467475752,0.000996207916053401,0.0037529233925270513,23.46789299385413,8.441052150247357e-07
0.08263052404283154,1.354855044399908,0.0010051808119421767,0.006141458352714125,14.446601095174623,3.032878983289484e-07
0.06573009580889314,1.4234421080878847,0.000992296710729094,0.005757926545579562,20.7296394537656,3.189256214353346e-07
0.07509104213698627,1.4539288749116095,0.001010674824473994,0.00918937197130219,23.182075099348978,8.429120011577265e-07
0.07137523104912778,1.456153468326596,0.0010027483918852258,0.005253610606184649,25.647708497877463,2.58342296531601e-07
0.07912140681176456,1.322755215661672,0.0009914001988481959,0.014849930397402396,29.407624703350276,7.821553748287343e-07
0.05523506035785747,1.5642571730014962,0.0009777621903185676,0.002005996971923581,26.270497202601177,8.197638725886834e-07
0.079515053328848,1.4675817103100148,0.0009972654492529192,0.004787139406956723,21.42048522428467,2.617512601823055e-07
0.0786582940834014,1.5147363967562373,0.000989048600078275,0.004216208653358476,23.556683510946357,3.4106822573248385e-07
0.08400044774778628,1.4565362910746475,0.0009984603414101155,0.005843195883388466,14.022445901759435,5.291053114414403e-07
0.08458732545674716,1.3768057992635783,0.0010045484895291723,0.012298828374443745,21.39915106043258,8.657145859937781e-07
0.07651693613517445,1.5551573198533413,0.0009919119781316987,0.0022407617293088997,22.15576375679447,3.7782969828589337e-07
0.06003029345070299,1.4468709167857832,0.0010127070236093212,0.005517111984281392,26.82129039817525,3.135830320934683e-07
0.0652338132431631,1.3193647062748701,0.0009971824371442272,0.00803763931756781,28.022660783538054,2.75748595689819e-07
0.09706049161004308,1.56549054256632,0.0010108294149398275,0.0010126427973806658,10.625205811706834,3.7845613923604716e-07
0.07695848387148496,1.4503611572126578,0.0009851008801478297,0.010368260403596329,25.732603732023186,8.677049629000997e-07
0.06210690470644235,1.5004173512189698,0.001016715529072347,0.004280024128804061,11.26255396947337,7.325215446546494e-07
0.08844665964125753,1.5202714647658624,0.001008878699947525,0.0042142199694499794,24.95626988757364,3.295684025011062e-07
0.06466697356402051,1.4044417027118032,0.0009962356735889184,0.009825168560379809,23.85930662427692,7.516064135262307e-07
