gamma,phi,eta,L,t,biscuit
0.07389671937149704,1.3330055466388109,0.0009987327666543136,0.01119606960113518,19.362213715937262,Digestive
0.08094619660989913,1.47675793946145,0.001011757159131612,0.005894325966023138,11.85258933147959,Digestive
0.08740789933486645,1.4771414922137245,0.0009835886160519988,0.009248633128139332,24.793669186847307,Digestive
0.07079297077473681,1.5020014606036687,0.0010015968629928592,0.003773748414243723,16.292779732948908,Hobnob
0.058917455291466025,1.548274080494855,0.0010043325545818825,0.002290714627904479,13.662271340824319,Hobnob
0.06998852850217196,1.5627548911902263,0.0009885213148904753,0.0019361439068965728,16.28776657747529,Digestive
0.07757695422378164,1.4813113550451231,0.0009908721649768907,0.005640664087443377,26.434172907655192,Rich Tea
0.06227550737403939,1.5205335968713052,0.0010052665124343579,0.004030109621202,28.4234069608383,Hobnob
0.07526424670831505,1.4877064694430189,0.0010025702956993102,0.004725547944472603,21.984085135211615,Rich Tea
0.07620157669002117,1.5224565346173826,0.0009984497081216607,0.0038110274330721314,19.176369499291503,Hobnob
0.059019916329909376,1.454741251155549,0.00099088044259254,0.006594672232444143,17.49860621411515,Digestive
0.07769366282860254,1.0835078307383665,0.0009900907219098619,0.010141532855848843,14.124568788855449,Rich Tea
0.08317186969454868,1.5313237810955531,0.0010014708444930206,0.0029073905476256754,16.240340262498755,Rich Tea
0.07731761034723443,1.4677549985697134,0.0010044747645100694,0.004199176084254765,15.098132779033829,Rich Tea
0.059996323473350335,1.5170108012090133,0.0009923549278210396,0.0030285788151932216,20.247136185346978,Rich Tea
0.07770954004934058,1.4966609324747497,0.0010050876993249846,0.005233330105984999,26.554105391275655,Rich Tea
0.08162136774466444,1.4004249272972573,0.0009908726213791828,0.00959084744644157,15.180425993880718,Digestive
0.07857042519052837,1.4375737390032504,0.0009893236506301013,0.004543618561347058,10.19465325397803,Hobnob
0.07820577952286661,1.4552652982047865,0.0010125649960144782,0.005106995416043644,12.968139672839186,Hobnob
0.0985418034514759,1.5228396303868768,0.000988134205883973,0.0036767766347043335,23.38074153103834,Rich Tea
0.08541771738638708,1.3592248414209231,0.0010040711862542872,0.009257612560435297,25.957162524126517,Rich Tea
0.054431193409093685,1.5075944318598298,0.0010081502614487246,0.0045867424994923784,23.3579094161129,Hobnob
0.07517465522219248,1.5412470023506242,0.000992926474933788,0.0022974892444299635,17.33765089398534,Rich Tea
0.07313039513849172,1.5541259835249415,0.0009952841476726074,0.0022338652726104982,27.63278365228808,Rich Tea
0.040327824663133775,1.5675697927829708,0.0009947973699997248,0.0009240830224987942,23.601745807434327,Hobnob
0.08206253573599327,1.3976269792726657,0.000987086258598279,0.008645970802585086,18.648071436509937,Hobnob
0.07890788779784828,1.3738128784061507,0.0010068673000885396,0.008503758503864653,25.565921454527928,Rich Tea
0.08250597258061512,1.41266637195642,0.0009923013264388836,0.006296118522273142,12.025914212232356,Hobnob
0.08053585913399731,1.364801024124599,0.0009928431938204278,0.007720836822904937,21.130681337093606,Rich Tea
0.08717472574401089,1.394417988091598,0.0009960355288404937,0.00785380483669466,13.635087071849433,Hobnob
0.06437314260064964,1.4971725769943476,0.001009055777339039,0.004542761818542311,26.14706554721206,Rich Tea
0.083246726572733,1.4186227656442851,0.0009862079238829907,0.004578171238295034,10.831609135682625,Rich Tea
0.05975129467011711,1.5474319297083494,0.0010010830455495264,0.00347312232469922,20.124682257743252,Digestive
0.05702000391018838,1.45496058463092,0.0010014172158698523,0.005868432396514786,17.73047069345332,Hobnob
0.0873880650376741,1.5092709058129854,0.0009909749394227123,0.005654301502538571,28.161278628385368,Hobnob
0.05985483917448343,1.4018961064312947,0.0009920815699763872,0.010595105632296637,29.865045374171522,Digestive
0.0759661370599458,1.277958482956611,0.0010136657967695787,0.009032070585267003,26.981043549458718,Rich Tea
0.08127931902284694,1.3839473318119186,0.0009873582273427876,0.006861364800138323,20.549801363165336,Rich Tea
0.0816976264072497,1.482975116278985,0.0010049997659858632,0.00847690482163084,23.64052677523931,Digestive
0.07928114986726283,1.4776248057737964,0.0010007634367968786,0.0065566313007942596,21.581263361702838,Hobnob
0.06880904982033823,1.5045168788028807,0.0009940806378463034,0.005860374542672048,20.349734225731446,Digestive
0.07174042753719907,1.4530839507940714,0.001000322950554821,0.007270750227569471,20.420334475842083,Hobnob
0.07704233429460258,1.1650649472584318,0.000995397746359392,0.008667949025950103,12.551118259002367,Hobnob
0.08342479517871305,1.5112347797043229,0.0010112263984056733,0.0054859173687058765,16.142422034854615,Digestive
0.08682823830426427,1.5067070523604045,0.0009786865685906421,0.003738683432208417,10.152730401890793,Hobnob
0.06401588095615143,1.46122025403145,0.0010022907222824876,0.004003825194140512,14.079967491631821,Rich Tea
0.07201458988072938,1.4408580398289608,0.0009955443883997999,0.005625739431079797,22.958084955901157,Rich Tea
0.050763789319259095,1.446430639234261,0.0009803083364860342,0.0069762785329425215,20.742020301160053,Digestive
0.05303497750011163,1.4705735824574857,0.0010126840575805259,0.007174819538308349,22.894764956054733,Digestive
0.08398054457284382,1.565260748285623,0.0009955289457700702,0.0016469319063368672,14.250154014084448,Digestive
0.07094274681960488,1.4147212920154097,0.0009928333896698667,0.007034128724287786,11.121606477487248,Digestive
0.07518981783153095,1.458585088292026,0.0010083187854237512,0.005992651674161208,10.445989219582712,Digestive
0.0812888299668991,1.5187275482804308,0.0010061799922184405,0.0031401012851179693,11.704799532363918,Hobnob
0.0853348627633519,1.2999750597817896,0.001010158112205809,0.012100624842959729,23.96652559828092,Hobnob
0.0672446906320724,1.482213869173994,0.0010007747729973001,0.0031001745471608087,10.439119372753217,Rich Tea
0.09016272323096636,1.515621283078493,0.0009994598145162833,0.005386064554855345,22.87180992482621,Hobnob
0.07721693925153286,1.5451426426022112,0.0009986778533434106,0.0038796938116653374,16.80664901864438,Digestive
0.0807899095211424,1.181983411014233,0.0010121391505375653,0.0149491550209724,20.28240887123287,Digestive
0.07361953474013633,1.533950154530597,0.0010004861877111466,0.0027353645881771863,18.597205019647557,Rich Tea
0.09156099845562642,1.2798475231841708,0.0009896951944464848,0.014473221857592028,21.507264275685245,Digestive
0.0752510700332446,1.1374767917992574,0.001009098604871088,0.011292451779430335,29.25100152825187,Rich Tea
0.07963560336332894,1.5285074092647974,0.0009990110368886262,0.0049038284334955475,26.60765567879277,Hobnob
0.0659637372119456,1.378504792782595,0.0010007613958490002,0.009734513155336567,20.454317744897928,Digestive
0.0855379179858923,1.430829993474522,0.000980850638243308,0.005681036646435043,11.982105316739688,Hobnob
0.07400542737947848,1.5702689389745161,0.0010137201891358863,0.0004972575080093505,27.573526491910137,Hobnob
0.06267693219630573,1.3196445200243703,0.0010018734231959027,0.00800350871506415,17.73990897091775,Hobnob
0.06329071784053819,1.4202603355144368,0.0009998359891933907,0.008075376406304745,15.108788550353548,Digestive
0.06270309213556367,1.535346820689045,0.001010948155999658,0.002955216068607039,16.15600016000638,Hobnob
0.06130099069318451,1.516722218631953,0.0010227211286107432,0.0037954169504243484,11.17534254552163,Digestive
0.08044846657580675,1.4408497413668053,0.0010051802868419678,0.0059706829573163535,11.00954190331092,Hobnob
0.06225823629170694,1.3774870365153078,0.0009955666521898848,0.0067622013657177345,10.03154813517243,Digestive
0.07456451328208495,1.3350790768464582,0.0010003699790869598,0.005915644624338475,10.800498798187759,Rich Tea
0.06977974190280194,1.478763834435628,0.0009933813464151056,0.0035728649678050013,12.545374635154204,Rich Tea
0.07971202654154137,1.4486507426238977,0.0010029048851470945,0.007578120165957914,28.12822555212246,Hobnob
0.0607549000122381,1.4419027544753025,0.0010069306636966194,0.004009445179173581,13.989892113166242,Rich Tea
0.08117300266620363,1.4159502004901814,0.00100499772816059,0.009458967571051413,16.398652838304944,Digestive
0.06859947038165841,1.5402526059433992,0.001000237324434955,0.003861917878836636,29.85606634682497,Hobnob
0.07735373270579121,1.5166278928505748,0.00100397622403627,0.0031353095228756622,17.411925351319482,Rich Tea
0.08326460815742595,1.5000135239904384,0.0010151936382114984,0.006187698765974659,16.631354591954725,Digestive
0.06973423994999182,1.5395687547053996,0.0009845391913534697,0.0026775213423950216,11.778183827024598,Hobnob
0.0793556339875146,1.5053473083825626,0.001005185953208406,0.005593083806822486,14.429046325008487,Digestive
0.07682069314475806,1.5480426483515688,0.0010063504409911664,0.002548762000020023,12.347337871630781,Hobnob
0.055682009357022846,1.5604687269765185,0.0010035666529030524,0.0015561950035118683,17.936198966071306,Hobnob
0.07673077350300297,1.5142803178791688,0.001013626358655797,0.005356957988302603,22.883122659165686,Hobnob
0.050188439128797425,1.5316145569418773,0.0010075729601216371,0.004662127884410248,28.3718161433555,Digestive
0.0674001078826836,1.523974460261055,0.0009956646143515072,0.0033653231660648454,20.358477768266354,Rich Tea
0.0481617705385859,1.5617709393018078,0.0010034026479694982,0.0014555221061680762,22.459124431162927,Hobnob
0.06631791685252611,1.2450963067432654,0.0010070132956066919,0.005939613119709326,11.548749654576076,Rich Tea
0.0702603389016185,1.4729133882311276,0.0010037426995308217,0.005677775127699853,22.526945577607698,Hobnob
0.07498395256625412,1.3590006169136255,0.0010129585862859978,0.010947926239191549,20.817931180588403,Digestive
0.05679753074848341,1.5333145599062947,0.0010179269050747835,0.003274888540787022,29.543043535835057,Hobnob
0.06021417917579806,1.4705519416954114,0.0010123395127210515,0.004817950356437826,24.366904810018234,Rich Tea
0.07906435828597554,1.453548595951271,0.0009995008810075345,0.008856811422870547,28.19872663286572,Hobnob
0.07022181593924798,1.4315420892753088,0.0009935792076535888,0.005580802161326648,16.760309502772852,Rich Tea
0.08697147290549918,1.2536750846839044,0.0009960749361211702,0.011464884853791537,15.036044492536861,Hobnob
0.06199767861132158,1.532510865504528,0.0009961562344991486,0.003475409864392764,19.881144913912973,Hobnob
0.08746848357282044,1.4724976729096417,0.000986654000066976,0.005791531534319845,16.41906333472553,Hobnob
0.06769962943416417,1.397955314688525,0.0010144813731928688,0.010085254446298314,24.852321564019114,Digestive
